"Success_of_Movie","actor1","actor2","country","director","genre","id","language","released","runtime","writer"
"Success","Sarah Michelle Gellar","Lee Pace","USA","Joel Bergvall","Drama","tt0368563","English",2009,85,"Michael Petroni"
"Success","Cate Blanchett","Ben Whishaw","Germany","Todd Haynes","Biography","tt0368794","English",2007,135,"Todd Haynes"
"Success","Luciano Cazaux","Celina Zambón","Argentina","Horacio Muschietti","Comedy","tt0368863","Spanish",2006,85,"Horacio Muschietti"
"Success","Nick Ballard","Andy Bartlett","USA","Vinnie Bilancio","Horror","tt0369255","English","N/A","N/A","Vinnie Bilancio"
"Failure","Claire Ross-Brown","Kim Sønderholm","Denmark","Rusty Apper","Horror","tt0369424","English",2008,111,"Rusty Apper"
"Success","Vince Vaughn","Reese Witherspoon","Germany","Seth Gordon","Comedy","tt0369436","English",2008,88,"Matt Allen"
"Success","Chris Pratt","Bryce Dallas Howard","USA","Colin Trevorrow","Action","tt0369610","English",2015,124,"Rick Jaffa"
"Success","Rashid Aitouganov","Kofi Annan","Denmark","Morten Hartz Kaplers","Drama","tt0369878","Danish",2007,83,"Allan Milter Jakobsen"
"Failure","Milla Jovovich","Cameron Bright","USA","Kurt Wimmer","Action","tt0370032","English",2006,88,"Kurt Wimmer"
"Success","Ailish McCarthy","Sophie Jo Wasson","Ireland","Marian Quinn","Drama","tt0370242","English",2008,89,"Marian Quinn"
"Failure","Sebastian Spence","Crystal Bublé","Canada","Roger Larry","Crime","tt0370433","English",2007,"N/A","Roger Larry"
"Failure","Meital Dohan","Alon Aboutboul","Israel","Marek Rozenbaum","Action","tt0370893","Hebrew",2006,95,"Haim Marin"
"Success","Sylvia Rousso","Patricia Neal","USA","Silvana Vienne","Drama","tt0371407","English",2007,96,"Silvana Vienne"
"Success","Mike Price","Joseph Fotinos","USA","John E. Hudgens","Documentary","tt0371530","English",2006,91,"Sandy Clark"
"Success","Roger Carel","Lorànt Deutsch","France","Stefan Fjeldmark","Animation","tt0371552","French",2006,78,"René Goscinny"
"Success","Robert Downey Jr.","Terrence Howard","USA","Jon Favreau","Action","tt0371746","English",2008,126,"Mark Fergus"
"Failure","Kristen Kerr","Lizzy Strain","USA","Ramzi Abed","Crime","tt0372005","English","N/A",105,"Ramzi Abed"
"Success","Vincent Pastore","Ben Curtis","USA","Alexander Klymko","Action","tt0372538","English",2011,110,"Charles Messina"
"Failure","Jason Behr","Amanda Brooks","South Korea","Hyung-rae Shim","Action","tt0372873","English",2007,90,"Hyung-rae Shim"
"Failure","Shelli Boone","Young Sir","USA","H.M. Coakley","Horror","tt0372975","English",2006,86,"H.M. Coakley"
"Success","Dexter Fletcher","Elize du Toit","UK","Gary Sinyor","Comedy","tt0373028","English",2009,100,"Gary Sinyor"
"Success","Brendan Fraser","Josh Hutcherson","USA","Eric Brevig","Action","tt0373051","English",2008,93,"Michael D. Weiss"
"Success","Irina Björklund","Peter Franzén","USA","Anne Norda","Comedy","tt0373263","English",2007,87,"Anne Norda"
"Success","Bradley Dorsey","Chris Ebling","USA","Clayton Miller","Action","tt0373340","English",2009,85,"Bradley Day"
"Success","Malcolm McDowell","Brad Dourif","USA","Rob Zombie","Horror","tt0373883","English",2007,109,"Rob Zombie"
"Success","Daniel Radcliffe","Harry Melling","UK","David Yates","Adventure","tt0373889","English",2007,138,"Michael Goldenberg"
"Failure","Joleigh Fioravanti","Bret Roberts","USA","Chris Fisher","Crime","tt0373900","English",2006,85,"Chris Fisher"
"Success","Sven Medvesek","Sandra Ceccarelli","Croatia","Veljko Bulajic","Biography","tt0373999","Croatian",2006,130,"Ivo Bresan"
"Failure","Elisha Cuthbert","Daniel Gillies","USA","Roland Joffé","Crime","tt0374563","English",2007,96,"Larry Cohen"
"Success","Demián Bichir","Rodrigo Santoro","Spain","Steven Soderbergh","Biography","tt0374569","Spanish",2009,135,"Peter Buchman"
"Failure","Lindley Praytor","Tiffany Shepis","USA","Adam Wingard","Horror","tt0374718","English",2007,89,"E.L. Katz"
"Success","Maggie Grace","Danny Dyer","UK","Simon Fellows","Adventure","tt0374853","English",2010,87,"Jayson Rothwell"
"Success","James Franco","Sophia Myles","USA","Kevin Reynolds","Drama","tt0375154","English",2006,125,"Dean Georgaris"
"Failure","Jason Dohring","Marina Sirtis","USA","Rod Slane","Adventure","tt0375195","English",2007,85,"Ami Neder"
"Success","Marie Bougeard","Patrick Desrues","N/A","Pierre-Yves Touzot","N/A","tt0375545","N/A","N/A","N/A","Pierre-Yves Touzot"
"Success","Charlize Theron","Freddie Highmore","Hong Kong","David Bowers","Animation","tt0375568","English",2009,94,"Osamu Tezuka"
"Success","Heather Graham","Bridget Moynahan","USA","Sue Kramer","Comedy","tt0375785","English",2007,96,"Sue Kramer"
"Success","Johnny Depp","Aaron Eckhart","USA","Bruce Robinson","Comedy","tt0376136","English",2011,119,"Bruce Robinson"
"Success","Ewan McGregor","Jennifer Connelly","Hong Kong","Ewan McGregor","Crime","tt0376479","English",2016,108,"Philip Roth"
"Success","Hugh Jackman","Halle Berry","Canada","Brett Ratner","Action","tt0376994","English",2006,104,"Simon Kinberg"
"Success","David Alan Basche","Patrick Warburton","USA","Paul Francis Sullivan","Comedy","tt0377061","English",2006,82,"Paul Francis Sullivan"
"Failure","Catherine Billingham","John King","Australia","Andrew Merkelbach","Sci-Fi","tt0377108","English","N/A",50,"Dale Smith"
"Success","Sally Kirkland","Damon Shalit","USA","Shira-Lee Shalit","Comedy","tt0377320","English",2006,98,"Damon Shalit"
"Success","John Barber","Leonard M. Cachola","USA","Sébastien Dumesnil","Documentary","tt0377332","English",2008,96,"Sébastien Dumesnil"
"Success","Giovanni Brignola","Gabrielle Scharnitzky","Italy","Pasquale Marrazzo","Drama","tt0377904","Italian",2006,90,"Lorenzo Loris"
"Success","James McAvoy","Emily Blunt","UK","Kelly Asbury","Animation","tt0377981","English",2011,84,"Rob Sprackling"
"Failure","Shahar Sorek","Mosko Alkalai","Israel","Uri Paster","Drama","tt0378345","Hebrew",2007,99,"Uri Paster"
"Success","Shelley Andagan","Lisa Arturo","USA","Elana Krausz","Drama","tt0378816","English","N/A",96,"Elana Krausz"
"Success","Rauno Ahonen","Mikkomarkus Ahtiainen","Finland","Åke Lindman","Drama","tt0378848","Finnish",2007,117,"Stefan Forss"
"Success","Carlos Arraiz","Alexander Barrios","Venezuela","Joseph Novoa","Action","tt0379264","Spanish",2006,120,"Henry Herrera"
"Success","Laura Bailey","Amber Bordelon","USA","Clay Liford","Horror","tt0379290","English",2006,95,"Clay Liford"
"Success","John Krasinski","David de Vries","USA","George Clooney","Comedy","tt0379865","English",2008,114,"Duncan Brantley"
"Success","Julianne Moore","Stephen Dillane","France","Tom Kalin","Drama","tt0379976","English",2008,97,"Howard A. Rodman"
"Success","Lionel Newton","Vanessa Cooke","South Africa","Michael Raeburn","Drama","tt0380034","English","N/A",118,"Malcolm Kohll"
"Success","Agnes Bruckner","Emma Campbell","USA","Lucky McKee","Horror","tt0380066","English",2006,91,"David Ross"
"Success","Katarina Radivojevic","Sonja Kolacaric","Serbia","Uros Stojanovic","Comedy","tt0380249","Serbian",2008,86,"Batric Nenezic"
"Success","Jon Roberts","Al Sunshine","USA","Billy Corben","Documentary","tt0380268","English",2007,118,"N/A"
"Success","Mark Wahlberg","Rachel Weisz","USA","Peter Jackson","Drama","tt0380510","English",2010,135,"Fran Walsh"
"Failure","Josh Wise","Chelse Swain","USA","Daniel Mellitz","Drama","tt0381053","English",2006,"N/A","Daniel Mellitz"
"Success","Daniel Craig","Eva Green","UK","Martin Campbell","Action","tt0381061","English",2006,144,"Neal Purvis"
"Success","Johnny Flynn","Stephanie Leonidas","Netherlands","Ben Sombogaart","Adventure","tt0381111","English",2006,125,"Bill Haney"
"Failure","Nicole Rayburn","Drew Wicks","USA","Vincent Rocca","Comedy","tt0381341","English",2006,81,"Michael Hutchinson"
"Success","Pablo Tendilla Ortiz","Pablo Tendilla Rocha","Mexico","Dylan Verrechia","Comedy","tt0381704","Spanish",2007,79,"Dylan Verrechia"
"Success","Russell Crowe","Christian Bale","USA","James Mangold","Adventure","tt0381849","English",2007,122,"Halsted Welles"
"Success","Anna Katharina Schwabroh","Martin Rapold","Switzerland","Ivan Engler","Mystery","tt0381940","German",2010,112,"Arnold Bucher"
"Success","Steve Varden","Derek Jacobi","UK","Matt Dickinson","Drama","tt0381957","English",2012,92,"Matt Dickinson"
"Success","Frank Welker","Will Ferrell","USA","Matthew O'Callaghan","Animation","tt0381971","English",2006,87,"Ken Kaufman"
"Success","Patricia Tallman","Joy Claussen","USA","James Alario","Romance","tt0382036","English","N/A",72,"Sahag Gureghian"
"Success","Nick Bartlett","Clare Grogan","UK","Chris Cook","Comedy","tt0382222","English",2006,90,"Chris Cook"
"Success","Henry Dittman","Conrad Roberts","USA","Jeff Orgill","Comedy","tt0382579","English","N/A",82,"Hector Maldonado"
"Success","Tom Hanks","Audrey Tautou","USA","Ron Howard","Mystery","tt0382625","English",2006,149,"Akiva Goldsman"
"Success","Chris Haywood","Tatea Reilly","Australia","Ray Lawrence","Crime","tt0382765","English",2006,123,"Raymond Carver"
"Success","Patton Oswalt","Ian Holm","USA","Brad Bird","Animation","tt0382932","English",2007,111,"Brad Bird"
"Success","Sean Hayes","Will Sasso","USA","Bobby Farrelly","Comedy","tt0383010","English",2012,92,"Mike Cerrone"
"Success","Philip Seymour Hoffman","Catherine Keener","USA","Charlie Kaufman","Comedy","tt0383028","English",2008,124,"Charlie Kaufman"
"Failure","Tim Allen","Courteney Cox","USA","Peter Hewitt","Action","tt0383060","English",2006,83,"Adam Rifkin"
"Success","Péter Haumann","Péter Rudolf","Hungary","Béla Paczolay","Comedy","tt0383062","Hungarian",2008,100,"Béla Paczolay"
"Success","Adriano Giannini","Piroska Molnár","Hungary","Zoltán Kamondi","Drama","tt0383064","Hungarian",2007,"N/A","Ádám Bodor"
"Success","Steve Martin","Kevin Kline","USA","Shawn Levy","Adventure","tt0383216","English",2006,93,"Len Blum"
"Success","Jonathan Tucker","Jeremy Renner","USA","Kyle Bergersen","Comedy","tt0383478","English",2006,89,"Kyle Bergersen"
"Success","Johnny Depp","Orlando Bloom","USA","Gore Verbinski","Action","tt0383574","English",2006,151,"Ted Elliott"
"Success","Gary Dourdan","Darren Bridgett","USA","Samm Styles","Drama","tt0383929","N/A",2007,116,"N/A"
"Success","Dave Attell","Lacy Attuso","USA","Bob Ray","Documentary","tt0384162","English","N/A",89,"N/A"
"Success","Radha Mitchell","Sean Bean","Canada","Christophe Gans","Adventure","tt0384537","English",2006,125,"Roger Avary"
"Success","Shane West","Rick Gonzalez","USA","Rodger Grossman","Biography","tt0384683","English",2008,92,"Rodger Grossman"
"Success","Justin Long","Jonah Hill","USA","Steve Pink","Comedy","tt0384793","English",2006,93,"Adam Cooper"
"Success","Mimi Michaels","Laura Anderson","USA","Richard Rossi","Drama","tt0384798","English",2006,110,"Richard Rossi"
"Success","Colin Farrell","Salma Hayek","USA","Robert Towne","Drama","tt0384814","English",2006,117,"Robert Towne"
"Success","Dávid Szöllõskei","Gergely Molnár","Hungary","Gábor Szöllõskei","Comedy","tt0385206","Hungarian",2006,60,"Gergely Molnár"
"Success","Bahram Radan","Golshifteh Farahani","Iran","Dariush Mehrjui","Drama","tt0385277","Persian",2007,107,"Dariush Mehrjui"
"Success","Thierry Frémont","Tom Novembre","France","Jean-Pierre Mocky","Crime","tt0385488","French",2007,89,"Gil Brewer"
"Failure","Betsy Palmer","Cody Newton","USA","Shane Marr","Drama","tt0385543","English",2007,99,"Jay Guffey"
"Success","Erik Holmey","Zlatko Buric","Denmark","Shaky González","Action","tt0385683","Danish",2007,92,"Shaky González"
"Success","Josh Lucas","Derek Luke","USA","James Gartner","Biography","tt0385726","English",2006,118,"Christopher Cleveland"
"Success","Nicole Kidman","Daniel Craig","UK","Chris Weitz","Adventure","tt0385752","English",2007,113,"Chris Weitz"
"Success","Tristán Ulloa","Mimí Ardú","Spain","Miguel Pereira","Drama","tt0385757","Spanish",2007,90,"Miguel Pereira"
"Success","Ryan Newman","Steve Buscemi","USA","Gil Kenan","Animation","tt0385880","English",2006,91,"Dan Harmon"
"Failure","Lainie Kazan","Henry Cavill","USA","Randal Kleiser","Adventure","tt0385988","English",2007,82,"Timothy Dolan"
"Success","Michael Moore","Tucker Albrizzi","USA","Michael Moore","Documentary","tt0386032","English",2007,123,"Michael Moore"
"Success","Max Records","Pepita Emmerichs","Germany","Spike Jonze","Adventure","tt0386117","English",2009,101,"Spike Jonze"
"Failure","Buddy Dolan","Mikki Padilla","USA","Hank Stone","Drama","tt0386486","English",2006,92,"Buddy Dolan"
"Success","Rade Serbedzija","Steven Brand","France","Jeff Celentano","Drama","tt0386693","English",2008,85,"Jeff Celentano"
"Success","Daniel Craig","Romola Garai","France","Christian Volckman","Animation","tt0386741","English",2006,105,"Alexandre de La Patellière"
"Failure","Alec Baldwin","James Adomian","USA","Dan Cox","Documentary","tt0386757","English",2006,72,"Dan Cox"
"Success","Iwan Fals","W.S. Rendra","Indonesia","Eros Djarot","Documentary","tt0387333","Indonesian","N/A",95,"N/A"
"Success","Luke Wilson","Maya Rudolph","USA","Mike Judge","Adventure","tt0387808","English",2007,84,"Mike Judge"
"Success","Josh Hartnett","Scarlett Johansson","Germany","Brian De Palma","Crime","tt0387877","English",2006,121,"Josh Friedman"
"Success","Michael Douglas","Evan Rachel Wood","USA","Mike Cahill","Comedy","tt0388182","English",2007,93,"Mike Cahill"
"Failure","Rachael Leigh Cook","Kenny Doughty","Canada","Laurent Firode","Comedy","tt0388288","English",2007,94,"Joan Carr-Wiggin"
"Success","Walmor Chagas","Ricardo Aronovich","Brazil","Marina Person","Documentary","tt0388333","Portuguese",2007,"N/A","N/A"
"Failure","Beth Allen","Renato Bartolomei","New Zealand","Gavin Scott","Adventure","tt0388753","English",2006,101,"Gavin Scott"
"Failure","Robert Forster","Cameron Richardson","USA","Sebastian Gutierrez","Action","tt0389328","English",2007,97,"Sebastian Gutierrez"
"Failure","Edward Albert","Katherine Bailess","USA","Andrew Schuth","Horror","tt0389360","English",2006,90,"Andrew Schuth"
"Failure","David Annen","Rick Bacon","UK","David Scheinmann","Comedy","tt0389528","English",2006,92,"Danny Scheinmann"
"Success","Carice van Houten","Sebastian Koch","Netherlands","Paul Verhoeven","Drama","tt0389557","Dutch",2007,145,"Gerard Soeteman"
"Success","Josh Hartnett","Melissa George","USA","David Slade","Horror","tt0389722","English",2007,113,"Steve Niles"
"Success","Jerry Seinfeld","Renée Zellweger","USA","Simon J. Smith","Animation","tt0389790","English",2007,91,"Jerry Seinfeld"
"Success","Adam Sandler","Kate Beckinsale","USA","Frank Coraci","Comedy","tt0389860","English",2006,107,"Steve Koren"
"Success","Jasper Pääkkönen","Elina Hietala","Finland","Aleksi Mäkelä","Biography","tt0390245","Finnish",2006,135,"Marko Leino"
"Failure","Jamie Linck O'Brien","Lisa Burdette","USA","Frank Lama","Comedy","tt0390528","English",2016,95,"Seth Hurwitz"
"Failure","Jackie Kreisler","Shane Elliott","USA","James P. Lay","Sci-Fi","tt0391095","English",2007,77,"James P. Lay"
"Success","Jeff Garlin","Dan Castellaneta","USA","Jeff Garlin","Comedy","tt0391229","English",2006,80,"Jeff Garlin"
"Success","Jean-Paul Rouve","Anne Brochet","France","Daniel Duval","Drama","tt0391488","French",2006,94,"Daniel Duval"
"Success","Adam Hirsch","Assi Dayan","Israel","Eyal Shiray","Action","tt0391788","Hebrew",2006,90,"Uzi Weil"
"Success","Daniel Chacón","Ken Takemoto","USA","Tom Kuntz","Comedy","tt0392878","English",2008,80,"Todd Hanson"
"Success","Milind Soman","Mylène Jampanoï","India","Pan Nalin","Adventure","tt0392883","Hindi",2007,155,"Pan Nalin"
"Success","Michael Warren","Joanna Cassidy","USA","Jerome Elston Scott","Comedy","tt0393049","English",2010,98,"Jerome Elston Scott"
"Failure","Burt Reynolds","Robert Loggia","USA","BJ Davis","Comedy","tt0393297","English",2006,88,"Julia Davis"
"Success","Willem Dafoe","Bob Hoskins","Italy","Abel Ferrara","Comedy","tt0393329","English",2011,96,"Abel Ferrara"
"Failure","Maarten Heijmans","Bart de Vries","Netherlands","Guido Pieters","Thriller","tt0393354","Dutch",2006,115,"Maarten 't Hart"
"Failure","Matt Keeslar","Jonathan Silverman","USA","Scott Zakarin","Horror","tt0393394","English",2007,"N/A","Scott Zakarin"
"Success","Nathan Mobley","Jaimie Alexander","USA","Gregg Bishop","Action","tt0393567","English",2006,92,"Gregg Bishop"
"Success","Anggun","James Earl Jones","UK","Alastair Fothergill","Documentary","tt0393597","English",2009,90,"Leslie Megahey"
"Failure","Tim Allen","Kristin Davis","USA","Brian Robbins","Comedy","tt0393735","English",2006,98,"Cormac Wibberley"
"Success","Sipke Visser","Ida Poortinga","Netherlands","Mischa Alexander","N/A","tt0393813","Frisian",2006,100,"Mischa Alexander"
"Success","Roger Bingham","Grant Bridges","UK","Keith Wright","Comedy","tt0393849","English",2008,71,"N/A"
"Failure","Jude Angelini","Rio Appling","USA","Fred Williamson","Horror","tt0393939","English",2007,89,"Don Abernathy"
"Success","Anna Biller","Jared Sanford","USA","Anna Biller","Comedy","tt0393956","English",2008,120,"Anna Biller"
"Success","Viggo Mortensen","Elena Anaya","Spain","Agustín Díaz Yanes","Adventure","tt0395119","Spanish",2006,145,"Arturo Pérez-Reverte"
"Success","N/A","N/A","Austria","Elke Groen","Documentary","tt0395223","Cantonese",2007,74,"N/A"
"Success","Mark Bajcar","Silas Borsos","Canada","Wyeth Clarkson","Drama","tt0395269","English","N/A",85,"Wyeth Clarkson"
"Success","Laibach","Peter Mlakar","Slovenia","Saso Podgorsek","Documentary","tt0395291","English",2006,76,"N/A"
"Success","Jennifer Garner","Timothy Olyphant","USA","Susannah Grant","Comedy","tt0395495","English",2007,124,"Susannah Grant"
"Failure","Jon Eric Williams","Sophia Reinero","USA","Leonard Carillo","Action","tt0395539","English",2006,"N/A","Cedrick Bradley"
"Success","Morgan C. Jones","Paul Tylak","France","Michael Hegner","Animation","tt0396042","English",2006,89,"Hans Christian Andersen"
"Success","Ben Whishaw","Francesc Albiol","Germany","Tom Tykwer","Crime","tt0396171","English",2007,147,"Andrew Birkin"
"Failure","Nicholas Irons","Jason Flemyng","UK","Jag Mundhra","Drama","tt0396476","English",2006,86,"Carl Austin"
"Success","Angela Bassett","Daniel Hansen","USA","Stephen J. Anderson","Animation","tt0396555","English",2007,95,"Jon Bernstein"
"Success","Kristian Howard","Orsolya Tóth","Hungary","Gyula Nemes","Comedy","tt0396575","Hungarian",2006,76,"Tamás Beregi"
"Success","Dakota Blue Richards","Juliet Stevenson","Hungary","Gabor Csupo","Adventure","tt0396707","English",2009,103,"Lucy Shuttleworth"
"Success","Fred Cole","Toody Cole","USA","Kate Fix","Documentary","tt0396913","English",2006,"N/A","N/A"
"Success","Agnes Bruckner","Hugh Dancy","USA","Katja von Garnier","Drama","tt0397044","English",2007,98,"Ehren Kruger"
"Success","Lindsay Lohan","Chris Pine","USA","Donald Petrie","Comedy","tt0397078","English",2006,103,"I. Marlene King"
"Success","Lance Reddick","Michael McGlone","USA","Bruce Terris","Thriller","tt0397105","English",2006,97,"Bruce Terris"
"Success","Paul Walker","Bruce Greenwood","USA","Frank Marshall","Adventure","tt0397313","English",2006,120,"David DiGilio"
"Failure","Nazareno Casero","Daniel Freire","Argentina","Daniel Pensa","Comedy","tt0397314","Spanish",2007,110,"Alan Pauls"
"Failure","Jason Lewis","Kashmira Shah","USA","Rajeev Virani","Comedy","tt0397551","English",2007,95,"Brad Listermann"
"Success","Roger Coma","María Dupláa","Argentina","Enrique Gabriel","Comedy","tt0397660","Spanish",2008,89,"Enrique Gabriel"
"Success","John Travolta","Miley Cyrus","USA","Byron Howard","Animation","tt0397892","English",2008,96,"Dan Fogelman"
"Success","Kenny Richards-Preston","Jennifer Lynn","UK","Lightning Bear","Action","tt0397907","English",2007,"N/A","Amanda Elizabeth"
"Failure","Laurence Fox","Louis Dempsey","UK","Colin Teague","Action","tt0398029","English",2006,103,"Gary Young"
"Success","Mandy Moore","Zachary Levi","USA","Nathan Greno","Animation","tt0398286","English",2010,100,"Dan Fogelman"
"Success","Zoltán Mucsi","Kamilla Fátyol","Hungary","Gábor Dettre","Crime","tt0398295","Hungarian",2008,120,"Gábor Dettre"
"Success","Anjan Srivastav","Dilip Prabhavalkar","India","Bharat Dabholkar","Comedy","tt0398404","English",2004,"N/A","Bharat Dabholkar"
"Success","Josh Hutcherson","AnnaSophia Robb","USA","Gabor Csupo","Adventure","tt0398808","English",2007,96,"Jeff Stockwell"
"Failure","Thomas Ian Nicholas","Jenny Mollen","USA","Martin Guigui","Comedy","tt0398839","English",2008,83,"Martin Guigui"
"Failure","Matthew Settle","Thomas Kretschmann","USA","Armand Mastroianni","Adventure","tt0398842","English",2006,99,"James Redfield"
"Failure","Jaime Pressly","Devon Aoki","USA","Corey Yuen","Action","tt0398913","English",2007,87,"J.F. Lawton"
"Success","Kevin Kline","Cesar Ramos","Germany","Marco Kreuzpaintner","Crime","tt0399095","English",2007,120,"Jose Rivera"
"Failure","Coolio","Sam Sarpong","USA","Michael T. Fitzgerald Jr.","Comedy","tt0399110","English",2006,89,"Lee Eric Smith"
"Success","Sophie Quinton","Miou-Miou","France","Gérald Hustache-Mathieu","Comedy","tt0399497","French",2006,96,"Gérald Hustache-Mathieu"
"Failure","Nicko Vella","Sasha Tilley","New Zealand","Michael Hurst","Adventure","tt0399790","English",2006,86,"Gavin Scott"
"Failure","Keith Adams","Beth Allen","New Zealand","Michael Hurst","Family","tt0399791","English",2006,82,"Gavin Scott"
"Success","Jason Brunner","Tom Burruss","USA","Jack Serino","Adventure","tt0400320","English","N/A",87,"Jack Serino"
"Failure","Til Schweiger","Emmanuelle Vaugier","Germany","Uwe Boll","Action","tt0400426","English",2008,95,"Michael Roesch"
"Success","Martin Lawrence","Ashton Kutcher","USA","Roger Allers","Animation","tt0400717","English",2006,86,"Steve Bencich"
"Failure","George Anton","Tina Barnes","UK","James Eaves","Action","tt0400944","English",2006,91,"James Eaves"
"Success","Mathieu Amalric","Emmanuelle Seigner","France","Julian Schnabel","Biography","tt0401383","French",2008,112,"Ronald Harwood"
"Success","Freddie Highmore","Albert Finney","USA","Ridley Scott","Comedy","tt0401445","English",2006,117,"Marc Klein"
"Failure","Jason London","Darlene Tejeiro","USA","Ron Wolotzky","Action","tt0401449","English",2006,93,"Dred Ross"
"Success","Fanny Ardant","Julie Bataille","France","Olivier Assayas","Comedy","tt0401711","French",2007,120,"Tristan Carné"
"Success","Taylor Kitsch","Lynn Collins","USA","Andrew Stanton","Action","tt0401729","English",2012,132,"Andrew Stanton"
"Success","Kate Beckinsale","Scott Speedman","USA","Len Wiseman","Action","tt0401855","English",2006,106,"Danny McBride"
"Success","Chris Cooper","Ryan Phillippe","USA","Billy Ray","Biography","tt0401997","English",2007,110,"Adam Mazer"
"Success","Khalid Maadour","Caroline Dhavernas","Belgium","Pierre-Paul Renders","Comedy","tt0402378","French",2006,90,"Denis Lapière"
"Success","Jean-Baptiste Maunier","Eugène Christo-Foroux","France","Eric Gutierrez","Animation","tt0402438","French",2006,80,"Isabelle De Catalogne"
"Success","Matt Ferrucci","Michael Portugal","USA","Francisco Menéndez","Drama","tt0402449","Spanish",2008,"N/A","Marc May"
"Success","Diego Luna","Alice Braga","Mexico","Carlos Bolado","Drama","tt0402505","Spanish","N/A",115,"Carlos Bolado"
"Success","Matt McCoy","Haley Joel","USA","Ryan Schifrin","Horror","tt0402743","English",2006,94,"Ryan Schifrin"
"Failure","Chris Tashima","Allison Sie","USA","Eric Byler","Comedy","tt0402763","English",2006,"N/A","Shawn Wong"
"Success","Vladimir Vdovichenkov","Svetlana Ustinova","Russia","Pyotr Buslov","Crime","tt0402874","Russian",2006,110,"Pyotr Buslov"
"Failure","Reggie Bannister","Peter Stickles","USA","Roy Knyrim","Horror","tt0402904","English",2006,92,"Pat Coburn"
"Failure","Amy Redford","Costas Mandylor","USA","Ken Del Vecchio","Drama","tt0402978","English",2008,"N/A","Francine Del Vecchio"
"Success","Lukas Haas","Erika Christensen","USA","Kevin Connolly","Comedy","tt0403057","English",2008,88,"Adam 'Tex' Davis"
"Failure","Kristina Hughes","Danielle Franke","USA","Sam Taybi","Thriller","tt0403085","English",2008,90,"Justin Beaupre"
"Failure","Mickey Hardt","Christina Cox","USA","Terry Ingram","Action","tt0403279","English",2006,89,"Donald Martin"
"Success","Dougray Scott","Saffron Burrows","New Zealand","Glenn Standring","Action","tt0403407","English",2007,90,"Glenn Standring"
"Success","Pim Wessels","Martijn Hendrickx","Netherlands","Steven de Jong","Adventure","tt0403483","Dutch",2007,135,"Mischa Alexander"
"Failure","Eric Artell","James Avery","USA","Brian Petersen","Comedy","tt0403598","English",2006,96,"Brian Petersen"
"Failure","Nikita Mikhalkov","Oleg Menshikov","Russia","Nikita Mikhalkov","Drama","tt0403645","Russian",2010,181,"Nikita Mikhalkov"
"Success","Michael Cera","Portia Doubleday","USA","Miguel Arteta","Comedy","tt0403702","English",2010,90,"Gustin Nash"
"Failure","Ajay Devgn","Prabhas","India","Prabhudheva","Action","tt0403935","Hindi",2014,144,"A.C. Mughil"
"Failure","Burt Reynolds","D.L. Hughley","USA","Harry Basil","Comedy","tt0403946","English",2006,93,"Brett Hudson"
"Success","Bruce Michael Hall","Persia White","USA","Derrick Warfel","Drama","tt0404034","English",2008,"N/A","Derrick Warfel"
"Success","Kim Basinger","Kelsey Grammer","USA","Mark Rydell","Crime","tt0404163","English",2008,113,"Robert Tannen"
"Success","Kate Winslet","Jennifer Connelly","USA","Todd Field","Drama","tt0404203","English",2007,136,"Todd Field"
"Success","Götz George","Claudia Michelsen","Germany","Petra Katharina Wagner","Drama","tt0404222","German",2006,96,"Petra Katharina Wagner"
"Success","Elisha Cuthbert","Jesse Bradford","USA","Yann Samuell","Comedy","tt0404254","English",2008,92,"Victor Levin"
"Success","Paul Walker","Cameron Bright","Germany","Wayne Kramer","Action","tt0404390","English",2006,122,"Wayne Kramer"
"Success","Colin Firth","Tom Courtenay","USA","Michael Hoffman","Comedy","tt0404978","English",2012,89,"Joel Coen"
"Success","Loïc Peckels","Layke Anderson","Luxembourg","Jean-Claude Schlim","Drama","tt0405022","English",2011,117,"Jean-Claude Schlim"
"Success","Dudley Sutton","Tom Georgeson","UK","John Eyres","Comedy","tt0405052","English",2006,94,"John Eyres"
"Success","Martina Gedeck","Ulrich Mühe","Germany","Florian Henckel von Donnersmarck","Drama","tt0405094","German",2007,137,"Florian Henckel von Donnersmarck"
"Success","Rory Cochrane","Robert Downey Jr.","USA","Richard Linklater","Animation","tt0405296","English",2006,100,"Philip K. Dick"
"Success","Carlos Amezcua","Curtis Armstrong","France","Richard Kelly","Comedy","tt0405336","English",2007,145,"Richard Kelly"
"Success","Gael García Bernal","Diego Luna","Mexico","Carlos Cuarón","Comedy","tt0405393","Spanish",2009,103,"Carlos Cuarón"
"Success","Sandra Barsotti","Camilo Beviláqua","Brazil","Joffre Rodrigues","Drama","tt0405445","Portuguese",2006,112,"Nelson Rodrigues"
"Success","Kiefer Sutherland","Jim Belushi","Canada","Steve 'Spaz' Williams","Animation","tt0405469","English",2006,82,"Ed Decter"
"Success","Aamir Khan","Siddharth","India","Rakeysh Omprakash Mehra","Comedy","tt0405508","Hindi",2006,157,"Renzil D'Silva"
"Failure","Richard Conant","Eric Thornsberry","USA","Patrick Desmond","Action","tt0405632","English",2006,77,"Patrick Desmond"
"Success","Sean Penn","Jude Law","Germany","Steven Zaillian","Drama","tt0405676","English",2006,128,"Steven Zaillian"
